Channel,SellerName,OrInterestRate,OrUnpaidPrinc,OrLoanTerm,OrLTV,OrCLTV,NumBorrow,DTIRat,CreditScore,FTHomeBuyer,LoanPurpose,PropertyType,NumUnits,OccStatus,PropertyState,Zip,RelMortInd,OrDateMonth,OrDateYear,FirstPaymentMonth,FirstPaymentYear
C,"BANK OF AMERICA, N.A.",6.625,343000,360,86,86.0,2.0,27.0,751.0,N,C,PU,1,P,CO,809,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.25,400000,360,62,62.0,2.0,35.0,804.0,N,P,SF,1,P,CA,920,N,10,2007,12,2007
B,OTHER,6.625,81000,360,64,82.0,1.0,53.0,585.0,N,R,SF,1,P,LA,708,N,11,2007,1,2008
B,AMTRUST BANK,6.5,119000,360,71,71.0,1.0,35.0,646.0,N,R,CO,1,P,IL,600,N,11,2007,1,2008
B,"BANK OF AMERICA, N.A.",6.625,205000,360,27,27.0,1.0,54.0,591.0,N,C,SF,1,P,CA,907,N,10,2007,12,2007
R,"PNC BANK, N.A.",6.375,210000,360,80,93.0,1.0,42.0,787.0,N,P,SF,1,P,PA,160,N,8,2007,10,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.75,172000,360,95,95.0,1.0,42.0,698.0,N,P,CO,1,P,IL,605,N,9,2007,11,2007
B,"BANK OF AMERICA, N.A.",6.875,108000,360,90,90.0,2.0,51.0,647.0,N,P,SF,2,I,MO,631,N,11,2007,1,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,175000,180,70,70.0,1.0,53.0,662.0,N,C,SF,1,P,IL,601,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.5,224000,360,62,62.0,1.0,50.0,744.0,N,R,PU,1,P,AZ,850,N,10,2007,12,2007
B,"BANK OF AMERICA, N.A.",7.0,47000,360,67,67.0,1.0,44.0,708.0,N,C,SF,1,P,IN,464,N,8,2007,11,2007
C,"BANK OF AMERICA, N.A.",6.5,166000,360,95,95.0,2.0,37.0,677.0,N,R,SF,1,S,VA,240,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.125,70000,360,77,77.0,2.0,12.0,662.0,N,R,SF,1,P,SC,298,N,11,2007,1,2008
B,"BANK OF AMERICA, N.A.",7.25,147000,360,90,90.0,1.0,51.0,774.0,N,P,CO,1,I,IL,601,N,8,2007,10,2007
B,SUNTRUST MORTGAGE INC.,6.5,45000,360,57,57.0,2.0,27.0,751.0,N,C,SF,1,P,WV,257,N,11,2007,1,2008
B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,204000,360,75,75.0,1.0,46.0,702.0,N,P,CO,1,I,MA,21,N,10,2007,12,2007
R,"WELLS FARGO BANK, N.A.",6.375,120000,360,80,80.0,2.0,20.0,807.0,N,P,CO,1,S,FL,327,N,10,2007,12,2007
C,FLAGSTAR CAPITAL MARKETS CORPORATION,7.375,111000,360,75,93.0,2.0,64.0,756.0,N,R,SF,1,S,TX,775,N,8,2007,10,2007
C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.875,331000,360,71,71.0,2.0,40.0,623.0,N,C,SF,1,P,NY,109,N,9,2007,11,2007
R,OTHER,6.625,372000,360,49,49.0,2.0,21.0,647.0,N,C,SF,1,P,WA,981,N,9,2007,11,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.5,250000,360,50,50.0,1.0,43.0,588.0,N,C,SF,1,P,CA,917,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.625,159000,360,89,89.0,2.0,8.0,653.0,Y,P,SF,1,P,VA,244,N,11,2007,12,2007
C,"WELLS FARGO BANK, N.A.",6.75,224000,360,70,70.0,1.0,22.0,722.0,N,R,CO,1,P,MO,631,N,8,2007,10,2007
C,"CITIMORTGAGE, INC.",6.25,156000,360,80,80.0,2.0,25.0,651.0,Y,P,SF,1,P,WV,253,N,11,2007,12,2007
C,AMTRUST BANK,6.375,127000,360,55,55.0,2.0,22.0,694.0,N,C,SF,1,P,IN,474,N,8,2007,11,2007
C,"BANK OF AMERICA, N.A.",7.25,264000,360,80,80.0,2.0,51.0,719.0,N,P,CO,1,I,MD,207,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.75,268000,360,95,95.0,2.0,48.0,769.0,N,P,PU,1,P,FL,323,N,7,2007,9,2007
C,"BANK OF AMERICA, N.A.",7.25,233000,360,92,92.0,2.0,46.0,641.0,N,R,SF,1,P,IL,622,N,12,2007,2,2008
B,SUNTRUST MORTGAGE INC.,6.625,332000,360,80,80.0,2.0,26.0,765.0,N,C,PU,1,P,VA,231,N,8,2007,10,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,313000,360,56,56.0,2.0,24.0,775.0,Y,P,SF,1,P,NY,109,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.625,137000,360,71,71.0,1.0,26.0,651.0,N,C,SF,1,P,WA,985,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.75,163000,360,80,80.0,2.0,41.0,767.0,N,C,SF,1,P,WY,826,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.625,204000,360,85,85.0,2.0,27.0,659.0,N,R,CO,1,P,FL,331,N,10,2007,12,2007
R,"GMAC MORTGAGE, LLC",6.625,104000,360,89,89.0,1.0,38.0,766.0,N,R,SF,1,P,IN,461,N,12,2007,1,2008
R,"PNC BANK, N.A.",6.5,175000,360,93,93.0,2.0,28.0,796.0,N,P,PU,1,P,KS,662,N,10,2007,12,2007
C,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.5,115000,360,73,73.0,1.0,19.0,623.0,N,C,SF,1,P,VA,231,N,6,2007,8,2007
C,SUNTRUST MORTGAGE INC.,6.375,241000,360,61,61.0,2.0,37.0,744.0,N,R,SF,1,P,NM,882,N,10,2007,12,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,336000,360,80,90.0,1.0,33.0,812.0,N,P,SF,1,P,IL,600,N,9,2007,11,2007
R,"PNC BANK, N.A.",6.875,310000,360,73,73.0,1.0,47.0,806.0,N,C,SF,1,I,CA,920,N,10,2007,12,2007
R,OTHER,6.875,80000,360,89,89.0,2.0,39.0,800.0,N,P,MH,1,P,FL,338,N,9,2007,11,2007
B,AMTRUST BANK,6.125,320000,360,66,66.0,2.0,33.0,750.0,N,C,SF,1,P,MN,554,N,10,2007,12,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.5,207000,360,88,88.0,2.0,38.0,724.0,N,C,SF,1,P,WA,984,N,10,2007,12,2007
R,OTHER,6.5,198000,240,79,79.0,1.0,38.670606328740575,706.0,N,C,SF,1,P,PR,9,N,10,2007,12,2007
B,AMTRUST BANK,6.0,351000,240,83,83.0,2.0,38.0,787.0,N,R,SF,1,P,MA,18,N,11,2007,2,2008
B,OTHER,6.75,278000,360,95,95.0,2.0,50.0,804.0,Y,P,SF,1,P,IL,601,N,10,2007,12,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,98000,180,80,80.0,2.0,22.0,723.0,N,C,PU,1,P,AR,719,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.375,195000,360,58,58.0,2.0,30.0,794.0,N,P,SF,1,P,CO,800,N,10,2007,12,2007
C,"WELLS FARGO BANK, N.A.",6.5,75000,180,46,46.0,1.0,36.0,706.0,N,C,SF,1,P,IL,601,N,8,2007,11,2007
R,OTHER,6.25,48000,240,51,51.0,1.0,23.0,740.0,N,C,SF,1,P,IN,467,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.125,221000,360,63,63.0,2.0,50.0,647.0,N,R,SF,1,S,CA,960,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.5,230000,360,80,80.0,2.0,42.0,647.0,N,C,SF,1,P,PA,190,N,12,2007,2,2008
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.625,82000,360,53,53.0,1.0,42.0,698.0,N,C,SF,1,P,VA,233,N,10,2007,12,2007
C,AMTRUST BANK,6.125,87000,180,80,80.0,1.0,23.0,678.0,N,R,SF,1,P,LA,711,N,10,2007,12,2007
R,OTHER,6.625,315000,360,63,63.0,1.0,38.670606328740575,791.0,N,C,CO,1,P,CA,915,N,4,2006,6,2006
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,105000,360,31,31.0,1.0,26.0,726.0,N,C,SF,1,P,OH,430,N,10,2007,12,2007
R,"WELLS FARGO BANK, N.A.",7.5,85000,240,75,75.0,1.0,42.0,726.0,N,R,CO,1,P,FL,322,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.375,300000,360,75,75.0,1.0,49.0,748.0,N,R,CO,1,S,NH,32,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.25,250000,360,56,78.0,2.0,28.0,773.0,N,R,SF,1,P,CA,933,N,9,2007,11,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,80000,360,62,62.0,1.0,28.0,780.0,N,P,CO,1,P,NC,287,N,9,2007,11,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.75,180000,360,90,90.0,2.0,29.0,683.0,N,P,SF,1,P,PA,196,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.99,180000,360,90,90.0,2.0,38.0,736.0,Y,P,CO,1,P,NH,30,N,7,2007,9,2007
R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,45000,360,21,95.0,1.0,22.0,739.0,Y,P,SF,1,P,ME,49,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",5.875,182000,240,74,74.0,1.0,48.0,695.0,N,C,SF,1,P,WI,531,N,12,2007,2,2008
C,OTHER,6.25,272000,360,80,80.0,2.0,37.0,709.0,N,C,SF,1,P,MN,557,N,11,2007,1,2008
R,"CITIMORTGAGE, INC.",6.5,94000,360,85,85.0,2.0,45.0,739.0,N,C,SF,1,P,SC,295,N,11,2007,1,2008
C,SUNTRUST MORTGAGE INC.,6.25,118000,360,80,80.0,1.0,43.0,809.0,N,C,SF,1,P,MT,590,N,9,2007,11,2007
R,"CITIMORTGAGE, INC.",7.75,171000,360,60,71.0,1.0,48.0,635.0,N,R,SF,2,P,IL,605,N,7,2007,9,2007
